hist_lag,rebalancing_frequency,risk_tolerance,Return,Volatility,Sharpe Ratio,Portfolio Combination,risk_score
378,84,1,0.006256191,0.033998456,2.834474227,"{'CF': 15285.1, 'DVN': 23236.34, 'EQT': 61291.48, 'MCK': 1051.33, 'OXY': 47037.53}",1
252,189,1,0.006183601,0.033859493,2.898715394,"{'APA': 41985.31, 'CF': 15539.51, 'DVN': 35318.89, 'HAL': 196.22, 'MRO': 61576.36, 'MOS': 27309.93, 'OXY': 16613.05}",1
252,189,0.9,0.006115702,0.033112887,2.921115854,"{'APA': 41304.03, 'CF': 16193.05, 'DVN': 35281.08, 'MRO': 61345.22, 'MOS': 27858.66, 'OXY': 15641.26}",0.99
252,189,0.8,0.006073605,0.032611789,2.939897784,"{'APA': 40372.94, 'CF': 17005.78, 'DVN': 35141.1, 'MRO': 61033.97, 'MOS': 28480.79, 'OXY': 14505.28, 'TRGP': 9.1}",0.99
378,84,0.9,0.006109959,0.032432597,2.90323611,"{'CF': 15735.38, 'DVN': 22127.28, 'EQT': 59487.44, 'MCK': 1737.14, 'OXY': 44979.65}",0.98
378,21,1,0.006458956,0.032263536,2.956099981,"{'CEG': 55938.02, 'MPC': 4112.37, 'OXY': 28740.84, 'SMCI': 142335.57}",0.98
378,42,1,0.006046938,0.032137623,2.83876102,"{'EQT': 28918.46, 'MCK': 7474.47, 'OXY': 37719.82, 'SMCI': 261919.75, 'VRTX': 1963.73}",0.98
378,231,1,0.005746235,0.032115452,2.710412275,"{'CF': 15142.66, 'DVN': 22049.89, 'ENPH': 2252.54, 'EQT': 41201.21, 'MRO': 24652.01, 'MCK': 2859.02, 'OXY': 44893.7, 'VRTX': 4.8}",0.97
252,21,1,0.006949353,0.031828743,3.332722627,"{'CEG': 14855.86, 'ERIE': 645.06, 'FSLR': 24643.86, 'SMCI': 335217.26}",0.97
378,231,0.9,0.005728805,0.031713225,2.734374733,"{'CF': 15122.77, 'DVN': 20197.5, 'ENPH': 2337.2, 'EQT': 39700.65, 'MRO': 20861.68, 'MCK': 3388.27, 'OXY': 42919.18, 'VRTX': 661.64}",0.96
252,84,1,0.006648883,0.031508464,3.310731067,"{'CEG': 39613.97, 'EQT': 52845.3, 'OXY': 55863.57}",0.96
378,21,0.9,0.006393359,0.031431449,3.000221894,"{'CEG': 54476.13, 'MPC': 4649.76, 'OXY': 27569.36, 'SMCI': 136898.16, 'VRTX': 537.7}",0.95
252,189,0.7,0.005937588,0.031302115,2.990446054,"{'APA': 38427.92, 'CF': 17717.95, 'DVN': 34288.69, 'MRO': 59600.42, 'MOS': 28695.97, 'OXY': 12901.09, 'TRGP': 1118.35, 'TSLA': 244.11}",0.95
378,84,0.8,0.005989198,0.031260903,2.949852898,"{'CF': 16250.82, 'DVN': 20940.65, 'EQT': 57668.84, 'MCK': 2476.71, 'OXY': 42883.26}",0.95
378,42,0.9,0.005971294,0.031245541,2.884373292,"{'EQT': 28120.62, 'MPC': 1217.23, 'MCK': 7398.5, 'OXY': 34829.67, 'SMCI': 253445.08, 'VRTX': 2568.51}",0.94
378,147,1,0.005452253,0.03120968,2.663892992,"{'CEG': 60418.96, 'MPC': 4441.8, 'OXY': 31043.13, 'SMCI': 153737.42}",0.94
252,21,0.9,0.006890515,0.031133654,3.374401235,"{'CEG': 14287.33, 'ERIE': 629.16, 'FSLR': 25700.18, 'SMCI': 324950.86}",0.93
378,105,1,0.005314169,0.030977352,2.574107335,"{'CEG': 59690.34, 'MPC': 4388.23, 'OXY': 30668.77, 'SMCI': 151883.43}",0.93
378,147,0.9,0.005425713,0.030789636,2.687428244,"{'CEG': 59031.87, 'MPC': 5038.61, 'OXY': 29874.94, 'SMCI': 148346.7, 'VRTX': 582.66}",0.93
378,231,0.8,0.005639904,0.030753782,2.769448283,"{'CF': 12656.13, 'COP': 3660.36, 'DVN': 17090.63, 'DLTR': 2779.95, 'ENPH': 2636.58, 'EQT': 31806.38, 'MRO': 27226.83, 'MPC': 3238.26, 'MCK': 3063.57, 'OXY': 30195.1, 'VRTX': 1764.99}",0.92
378,168,1,0.005821076,0.030616236,2.92894961,"{'CF': 15494.09, 'DVN': 23554.05, 'EQT': 62129.51, 'MCK': 1065.7, 'OXY': 47680.67}",0.92
252,84,0.9,0.006560519,0.030609697,3.356132348,"{'CEG': 40274.23, 'EQT': 51709.8, 'OXY': 55914.8}",0.91
378,21,0.8,0.006314683,0.030538694,3.046878402,"{'CEG': 49876.65, 'MPC': 5451.88, 'MCK': 763.88, 'OXY': 25448.67, 'SMCI': 131264.86, 'VRTX': 1284.22}",0.91
378,84,0.7,0.005908376,0.030359656,3.000977025,"{'CF': 16518.74, 'DVN': 19726.82, 'EQT': 53908.78, 'MRO': 4380.13, 'MCK': 3206.46, 'OXY': 39196.78, 'SMCI': 16503.32}",0.9
378,105,0.9,0.005268814,0.030240979,2.618834095,"{'CEG': 58340.89, 'MPC': 4979.63, 'OXY': 29525.24, 'SMCI': 146610.27, 'VRTX': 575.84}",0.9
252,189,0.6,0.005811662,0.030154829,3.03382991,"{'APA': 35560.05, 'BKR': 222.77, 'CF': 18398.37, 'DVN': 32828.78, 'DLTR': 65.54, 'HAL': 18.66, 'MRO': 57287.01, 'MOS': 28576.53, 'OXY': 10917.75, 'ON': 199.81, 'TRGP': 2470.09, 'TSLA': 761.97}",0.9
378,42,0.8,0.005868502,0.03014188,2.939292865,"{'EQT': 26429.76, 'XOM': 747.8, 'MPC': 1759.29, 'MCK': 7519.72, 'OXY': 32550.97, 'SMCI': 241867.38, 'VRTX': 2992.21}",0.89
252,21,0.8,0.006797812,0.030073192,3.430832972,"{'CEG': 15194.42, 'ERIE': 2307.04, 'FSLR': 21318.15, 'LW': 6052.16, 'SMCI': 287480.73}",0.89
378,63,1,0.005401687,0.030035338,2.749917647,"{'CF': 14696.68, 'DVN': 21400.49, 'ENPH': 2186.2, 'EQT': 39987.76, 'MRO': 23925.96, 'MCK': 2774.82, 'OXY': 43571.51, 'VRTX': 4.65}",0.88
252,42,1,0.006429423,0.029954558,3.354693312,"{'CEG': 30939.38, 'ENPH': 5634.87, 'EQT': 16151.18, 'FSLR': 19247.71, 'OXY': 14028.73}",0.88
378,210,1,0.004662185,0.02978977,2.347832382,"{'AZO': 246.09, 'CF': 7085.22, 'DVN': 22644.94, 'DLTR': 8149.69, 'LLY': 1739.82, 'MCK': 7447.22, 'OXY': 37224.34, 'VRTX': 3417.24}",0.88
252,84,0.8,0.006483603,0.029751702,3.404156005,"{'CEG': 37641.94, 'EQT': 50989.72, 'MCK': 1796.81, 'OXY': 49949.21}",0.87
378,147,0.8,0.005311543,0.029701334,2.721061385,"{'CEG': 53983.56, 'MPC': 5900.8, 'MCK': 826.78, 'OXY': 27544.15, 'SMCI': 142073.4, 'VRTX': 1389.96}",0.87
378,252,1,0.005589792,0.029652726,2.948045797,"{'DVN': 93324.91, 'EXR': 926.37, 'F': 67030.9, 'FTNT': 52672.41, 'IT': 134.05, 'NVDA': 10471.6}",0.86
252,63,1,0.005753376,0.02963215,3.04511256,"{'CEG': 33724.41, 'ENPH': 9206.49, 'EQT': 58274.72, 'OXY': 22348.51}",0.86
252,168,1,0.006070883,0.029595141,3.213497846,"{'CEG': 40362.3, 'EQT': 53843.57, 'OXY': 56918.86}",0.86
378,168,0.9,0.005725551,0.029551947,2.988800477,"{'CF': 15957.37, 'DVN': 22439.44, 'EQT': 60326.67, 'MCK': 1761.65, 'OXY': 45614.21}",0.85
378,21,0.7,0.006210435,0.029500951,3.092040782,"{'CEG': 45395.23, 'EQT': 1475.68, 'MPC': 6137.58, 'MCK': 1470.62, 'OXY': 23292.42, 'SMCI': 125542.72, 'VRTX': 1973.41}",0.85
378,231,0.7,0.005520891,0.02946633,2.836569988,"{'CF': 12568.62, 'COP': 3454.73, 'DVN': 15511.23, 'DLTR': 3452.67, 'ENPH': 2660.75, 'EQT': 30482.84, 'MRO': 23517.07, 'MPC': 3464.28, 'MCK': 3418.02, 'OXY': 28790.24, 'VRTX': 2178.52}",0.84
252,42,0.9,0.006377982,0.029379154,3.396381517,"{'CEG': 31500.89, 'ENPH': 5251.94, 'EQT': 16844.37, 'FSLR': 19293.18, 'OXY': 14535.01}",0.84
378,42,0.7,0.005789651,0.029363244,2.977420256,"{'EQT': 24093.82, 'XOM': 1029.04, 'MPC': 1852.21, 'MCK': 7918.64, 'OXY': 30808.96, 'SMCI': 228825.72, 'VRTX': 3378.54}",0.83
378,210,0.9,0.004640641,0.029182904,2.395436533,"{'AZO': 54.57, 'DVN': 16230.22, 'DLTR': 8260.08, 'LLY': 768.31, 'MCK': 11245.12, 'OXY': 43754.01, 'VRTX': 3489.47}",0.83
252,63,0.9,0.005709767,0.029087079,3.073995298,"{'CEG': 34552.97, 'ENPH': 8797.86, 'EQT': 58638.69, 'OXY': 22750.74}",0.83
252,105,1,0.005440376,0.029032217,2.930272657,"{'CEG': 16130.72, 'ERIE': 700.42, 'FSLR': 26758.67, 'SMCI': 363983.97}",0.82
252,168,0.9,0.006019951,0.029008193,3.243946508,"{'CEG': 41017.66, 'EQT': 52664.33, 'OXY': 56946.94}",0.82
378,105,0.8,0.005148102,0.028987816,2.666927758,"{'CEG': 53486.37, 'MPC': 5846.45, 'MCK': 819.16, 'OXY': 27290.47, 'SMCI': 140764.9, 'VRTX': 1377.16}",0.81
